variable,mean,sd
nbr_carcasses,0.16538461538461538,0.554847134907858
long_midpoint,34.877903109869614,0.14623910269750393
lat_midpoint,-2.5224703449844927,0.23370752138302758
length,2476.090185566442,69.56237672473303
distance_water_km,2.339150043738409,3.1724771114632824
distance_amenity_km,4.932401435819484,3.7567987828353044
sparse_open_grassland,21.591832257925205,18.37080497713812
dense_closed_grassland,58.072174076946816,27.603381412121134
sparse_open_shrubland,0.7791641449185167,1.8367731866863493
dense_closed_shrubland,3.8589678728561205,7.19467790045853
woodland,14.294571043163415,18.97203191823472
forest,1.3366189005678004,5.4231155172684655
water,0.014451112327294962,0.26390835488666053
bare_ground,0.046251154556489656,0.6629381989184471
grassland,79.66400633487201,24.67196157840756
shrubland,4.6381320177746375,7.498829782245102
