segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distance_water_km
4_1,minor_road,0,34.7917888384661,-2.7561803663858604,2492.973207517348,2.7564462224870274
4_2,minor_road,0,34.80605478530407,-2.7401278015239323,2490.383704099627,2.3636235652472695
4_3,minor_road,0,34.80182367289314,-2.724486381302946,2492.442805286417,2.289246630291953
4_4,minor_road,0,34.78603193635214,-2.7109573272908905,2402.6790766976455,2.7295674606375178
5_1,minor_road,0,34.76453097953989,-2.775746948363058,2490.7868097397677,1.8275591696998095
5_2,minor_road,0,34.749688025269926,-2.779401213871545,2489.872344238323,0.24330342539696265
5_3,minor_road,0,34.745694005338294,-2.7596334199826584,2485.64777195315,0.3138521490373139
5_4,minor_road,0,34.7465832776875,-2.738764838849065,2487.4315836841156,0.1458891643337109
5_5,minor_road,0,34.754934427250184,-2.7198022896715113,2489.147316039655,0.11237611066425465
5_6,minor_road,0,34.765949619473936,-2.701441815923211,2488.706902379824,0.30910364779787913
5_7,minor_road,0,34.77706154070512,-2.6829858806180154,2389.709774800252,0.4411212892829978
6_1,minor_road,0,34.78754494566964,-2.6495718449863466,2486.233858716456,0.5390294052535722
6_2,minor_road,0,34.78202662741412,-2.6706578542562927,2485.3045273430366,0.5413294530329834
6_3,minor_road,0,34.78118836435399,-2.693002067110008,2485.453697518043,1.248025892168975
6_4,minor_road,1,34.77667912996686,-2.7144235424995538,2485.4460849450734,2.0417310329177627
6_5,minor_road,0,34.77773500150147,-2.736869791878378,2485.8015891423092,1.3749372731592882
6_6,minor_road,0,34.78054724058079,-2.7541285036580745,2490.019081019576,1.4977103718815845
6_7,minor_road,0,34.76747402738093,-2.7672171607162883,2361.868214108307,1.9810185221568906
7_1,minor_road,0,34.732513446857716,-2.344894658592138,2488.4269764358255,0.020964651484193172
7_2,minor_road,0,34.72329712550715,-2.3646855732074266,2485.682685094226,0.7511466265511761
7_3,minor_road,0,34.71508056328822,-2.380309908231296,2494.803010216949,0.5416186457728488
8_1,minor_road,2,34.86986206128568,-2.4521324075622117,2491.8040840379776,0.506064057236439
8_2,minor_road,1,34.888279224204105,-2.4635230348356245,2493.2090575913853,0.823269684074323
8_3,minor_road,0,34.88737252664457,-2.480931113660802,2493.347728862298,0.07153857826723418
9_1,minor_road,0,34.87293136970782,-2.4671313026992436,2491.3360832340777,1.3818964033458478
9_2,minor_road,1,34.856818882507866,-2.481798312475593,2494.8797486919434,0.2206485086076904
9_3,minor_road,1,34.83648247061875,-2.487665711223338,2497.9600643929007,0.077806021506497125
9_4,minor_road,0,34.81539337051914,-2.483243191807142,2493.3410472121345,0.0982259127467192
9_5,minor_road,0,34.80628491756914,-2.4637005294916587,2487.488106758194,0.11296683541162653
10_1,minor_road,0,34.789240503418064,-2.4270003098097193,2498.198715080027,1.1844915096244464
10_2,minor_road,0,34.76776695071501,-2.420862329357236,2497.341806362514,1.9082845196245333
10_3,minor_road,0,34.74709412467391,-2.4138838848200694,2494.34303973806,0.20273014707597037
10_4,minor_road,0,34.731607449633444,-2.3988671843894096,2491.4900786410303,0.14605032612286853
12_1,minor_road,0,35.10006616461379,-2.751506751425405,2494.779920640489,6.395571671988423
12_2,minor_road,0,35.08267887067682,-2.7413566583827333,2102.7644155461994,8.437497932963673
14_1,minor_road,0,34.92240830435824,-2.54042030505577,2490.4560939698345,1.336011710146925
15_1,minor_road,0,35.08794921687604,-2.760001592367352,2488.4572090455217,7.767490108665493
15_2,minor_road,0,35.076912983928835,-2.740550477372752,2489.526859052581,9.084584062347997
18_1,minor_road,0,34.960990485255984,-2.678524803856159,2492.3257345187726,3.225144571268941
18_2,minor_road,0,34.95418279960368,-2.6976589263751816,2489.1987556633044,1.5416345951712902
