segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distance_water_km,distance_amenity_km
4_1,minor_road,0,34.7917888384661,-2.7561803663858604,2492.973207517348,2.7564462224870274,1.46799412194758
4_2,minor_road,0,34.80605478530407,-2.7401278015239323,2490.383704099627,2.3636235652472695,3.16922009224697
4_3,minor_road,0,34.80182367289314,-2.724486381302946,2492.442805286417,2.289246630291953,3.73939832615869
4_4,minor_road,0,34.78603193635214,-2.7109573272908905,2402.6790766976455,2.7295674606375178,3.89071154945968
5_1,minor_road,0,34.76453097953989,-2.775746948363058,2490.7868097397677,1.8275591696998097,1.1959655080084202
5_2,minor_road,0,34.749688025269926,-2.779401213871545,2489.872344238323,0.24330342539696265,1.80121875162214
5_3,minor_road,0,34.745694005338294,-2.7596334199826584,2485.64777195315,0.3138521490373139,1.5434590013678
5_4,minor_road,0,34.7465832776875,-2.738764838849065,2487.4315836841156,0.1458891643337109,2.60326504281479
5_5,minor_road,0,34.754934427250184,-2.7198022896715113,2489.147316039655,0.11237611066425464,3.41883916596826
5_6,minor_road,0,34.765949619473936,-2.701441815923211,2488.706902379824,0.30910364779787913,4.80621023166124
5_7,minor_road,0,34.77706154070512,-2.6829858806180154,2389.709774800252,0.4411212892829978,5.01257490846557
6_1,minor_road,0,34.78754494566964,-2.6495718449863466,2486.233858716456,0.5390294052535722,5.69863449879196
6_2,minor_road,0,34.78202662741412,-2.6706578542562927,2485.3045273430366,0.5413294530329834,5.29435660189639
6_3,minor_road,0,34.78118836435399,-2.693002067110008,2485.453697518043,1.248025892168975,5.70180378522851
6_4,minor_road,1,34.77667912996686,-2.7144235424995538,2485.4460849450734,2.0417310329177627,3.29185239816996
6_5,minor_road,0,34.77773500150147,-2.736869791878378,2485.8015891423092,1.3749372731592882,0.887069479278075
6_6,minor_road,0,34.78054724058079,-2.7541285036580745,2490.019081019576,1.4977103718815843,0.366169395512986
6_7,minor_road,0,34.76747402738093,-2.7672171607162883,2361.868214108307,1.9810185221568903,0.89502029348957
7_1,minor_road,0,34.732513446857716,-2.344894658592138,2488.4269764358255,0.02096465148419317,2.9550117639442903
7_2,minor_road,0,34.72329712550715,-2.3646855732074266,2485.682685094226,0.7511466265511761,3.0316957821632
7_3,minor_road,0,34.71508056328822,-2.380309908231296,2494.803010216949,0.5416186457728488,1.39917160122572
8_1,minor_road,2,34.86986206128568,-2.4521324075622117,2491.8040840379776,0.506064057236439,1.1095051385572001
8_2,minor_road,1,34.888279224204105,-2.4635230348356245,2493.2090575913853,0.823269684074323,3.1777149335241
8_3,minor_road,0,34.88737252664457,-2.480931113660802,2493.347728862298,0.07153857826723418,4.0457450755873605
9_1,minor_road,0,34.87293136970782,-2.4671313026992436,2491.3360832340777,1.3818964033458478,1.8307349832218398
9_2,minor_road,1,34.856818882507866,-2.481798312475593,2494.8797486919434,0.2206485086076904,2.87751003145774
9_3,minor_road,1,34.83648247061875,-2.487665711223338,2497.9600643929007,0.077806021506497125,3.7724756602634804
9_4,minor_road,0,34.81539337051914,-2.483243191807142,2493.3410472121345,0.0982259127467192,2.90090125285752
9_5,minor_road,0,34.80628491756914,-2.4637005294916587,2487.488106758194,0.11296683541162653,1.72974106889603
10_1,minor_road,0,34.789240503418064,-2.4270003098097193,2498.198715080027,1.1844915096244464,2.61852174948836
10_2,minor_road,0,34.76776695071501,-2.420862329357236,2497.341806362514,1.9082845196245333,4.04798175337418
10_3,minor_road,0,34.74709412467391,-2.4138838848200694,2494.34303973806,0.20273014707597037,4.23548743434278
10_4,minor_road,0,34.731607449633444,-2.3988671843894096,2491.4900786410303,0.14605032612286853,3.33200439331039
12_1,minor_road,0,35.10006616461379,-2.751506751425405,2494.779920640489,6.395571671988423,6.90428921137369
12_2,minor_road,0,35.08267887067682,-2.7413566583827333,2102.7644155461994,8.437497932963673,8.90762264219591
14_1,minor_road,0,34.92240830435824,-2.54042030505577,2490.4560939698345,1.336011710146925,10.579017798814
15_1,minor_road,0,35.08794921687604,-2.760001592367352,2488.4572090455217,7.767490108665493,6.95000764528974
15_2,minor_road,0,35.076912983928835,-2.740550477372752,2489.526859052581,9.084584062347997,9.375214382161161
18_1,minor_road,0,34.960990485255984,-2.678524803856159,2492.3257345187726,3.225144571268941,12.1949701335492
18_2,minor_road,0,34.95418279960368,-2.6976589263751816,2489.1987556633044,1.5416345951712902,10.2826870776085
19_1,minor_road,0,34.980680516412164,-2.6781283108704272,2497.793256207409,5.043401012618627,12.0880223598508
19_2,minor_road,0,35.00194836929729,-2.684458528975613,2496.60624593031,7.034334614232775,11.6839204413697
19_3,minor_road,0,35.02114676637852,-2.6957810811696925,2496.027801594879,8.986095273254714,11.1953748929796
19_4,minor_road,0,35.04150815684181,-2.6999197609841503,2495.006707415252,9.959408965851312,11.9561156299547
20_1,minor_road,0,35.06152134472699,-2.7165239794721767,2485.596040984708,11.446265123721671,12.124386393864999
20_2,minor_road,0,35.05656259372372,-2.7376474114434077,2486.244311791353,11.369635806921709,10.289339495112799
